back_premise,back_hypothesis,label
오는 12월 10일부터는 고용보험 사각지대에 놓인 예술인도 고용보험 적용 대상에 포함된다.,지난 12월 10일까지 예술인들이 고용보험 사각지대에 놓여 있었다.,entailment
오는 12월 10일부터는 고용보험 사각지대에 놓인 예술인도 고용보험 적용 대상에 포함된다.,12월 10일이 지나도 예술인들이 고용보험 사각지대에 놓여 있다.,contradiction
"131명이 실형을 선고받은 것으로 알려졌지만 이들이 누구인지, 어떤 재판을 받았는지는 공개되지 않고 있다.",재판 내용이 공개되지 않은 사람이 있습니다.,entailment
"131명이 실형을 선고받은 것으로 알려졌지만 이들이 누구인지, 어떤 재판을 받았는지는 공개되지 않고 있다.",실형을 선고받은 131명이 모두 공개됐다.,contradiction
반민정 의원이 13일 서울 서초구 서초동 대법원 앞에서 기자회견을 열고 심경을 밝혔다.,대법원은 서울 강동구에 있습니다.,contradiction
반민정 의원이 13일 서울 서초구 서초동 대법원 앞에서 기자회견을 열고 심경을 밝혔다.,반민정이 억울함을 토로했다.,neutral
김부선은 13일 오전 1시 자신의 페이스북 커버 사진을 해변에서 활짝 웃고 있는 사진으로 바꿨다.,김부선이 13일 새벽 페이스북 커버 사진을 바꿨다.,entailment
김부선은 13일 오전 1시 자신의 페이스북 커버 사진을 해변에서 활짝 웃고 있는 사진으로 바꿨다.,김부선 씨는 페이스북을 하지 않습니다.,contradiction
"1492년 크리스토퍼 콜럼버스가 유럽인으로서 처음으로 미국에 도착한 후, 브라질은 이미 발견된 미국의 다른 지역들처럼 식민지화의 위협에 노출되었다.",1492년 크리스토퍼 콜럼버스는 미국에 발을 들여놓은 최초의 유럽인이었다.,entailment
"1492년 크리스토퍼 콜럼버스가 유럽인으로서 처음으로 미국에 도착한 후, 브라질은 이미 발견된 미국의 다른 지역들처럼 식민지화의 위협에 노출되었다.",브라질은 곧 식민지가 되었다.,neutral
"1492년 크리스토퍼 콜럼버스가 유럽인으로서 처음으로 미국에 도착한 후, 브라질은 이미 발견된 미국의 다른 지역들처럼 식민지화의 위협에 노출되었다.",크리스토퍼 콜럼버스는 미국에 도착한 최초의 유럽인은 아니었다.,contradiction
"14일 남구에 따르면 이날 현재 주월동 푸른길 도서관 및 열람실, 봉선동 청소년도서관은 평일 오전 9시부터 오후 6시까지 운영 중이다.",남구에 따르면 현재 주월동 일대 도서관은 모두 문을 닫았다.,contradiction
"14일 남구에 따르면 이날 현재 주월동 푸른길 도서관 및 열람실, 봉선동 청소년도서관은 평일 오전 9시부터 오후 6시까지 운영 중이다.",봉선동 청소년도서관 열람실은 주말에는 휴관한다.,neutral
"14일 남구에 따르면 이날 현재 주월동 푸른길 도서관 및 열람실, 봉선동 청소년도서관은 평일 오전 9시부터 오후 6시까지 운영 중이다.",주월동과 봉선동에는 도서관이 있습니다.,entailment
지난 14일 오전 인스타그램 서버 다운으로 에러가 발생했다.,14일 동안 오류가 발생하지 않았습니다.,contradiction
지난 14일 오전 인스타그램 서버 다운으로 에러가 발생했다.,14일 오전 발생한 오류가 15일 오전까지 이어졌다.,neutral
지난 14일 오전 인스타그램 서버 다운으로 에러가 발생했다.,인스타그램 서버 다운으로 인한 에러가 14일 오전 발생했다.,entailment
이란 수도 테헤란에서 14일 마무드 아마디네자드 이란 대통령의 퇴진을 주장하며 수만명이 경찰과 충돌했다.,14일 현재 이란의 대통령은 마흐무드 아마디네자드다.,entailment
이란 수도 테헤란에서 14일 마무드 아마디네자드 이란 대통령의 퇴진을 주장하며 수만명이 경찰과 충돌했다.,지난 14일 테헤란에서는 수만 명이 이란 대통령 퇴진을 요구했지만 충돌은 일어나지 않았다.,contradiction
이란 수도 테헤란에서 14일 마무드 아마디네자드 이란 대통령의 퇴진을 주장하며 수만명이 경찰과 충돌했다.,지난 15일 마무드 아흐무디네자드 이란 대통령이 자진사퇴를 선언했다.,neutral
지난 14일 제365회 토익 시험이 전국적으로 치러졌다.,토익 시험이 전국에서 동시에 실시된 것은 이번이 처음이다.,neutral
지난 14일 제365회 토익 시험이 전국적으로 치러졌다.,토익은 시험의 한 종류입니다.,entailment
15분짜리 다큐멘터리가 2시간짜리 영화로 바뀐 느낌이다.,15분짜리 다큐멘터리로 2시간짜리 영화가 만들어진 느낌이다.,entailment
1636년 병자호란 때 남한산성으로 피신한 조선 인조는 사방이 청군에 포위돼 고립된 무사의 처지에 놓였다.,1636년 병자호란 때 인조는 한양에서 청나라 군대에 포위되어 고립무원의 지위에 놓였다.,contradiction
1636년 병자호란 때 남한산성으로 피신한 조선 인조는 사방이 청군에 포위돼 고립된 무사의 처지에 놓였다.,1636년 병자호란 때 남한산성에서 인조를 포위한 사람이 바로 청군이다.,entailment
1636년 병자호란 때 남한산성으로 피신한 조선 인조는 사방이 청군에 포위돼 고립된 무사의 처지에 놓였다.,병자호란이란 청군의 기습으로 일어난 것이다.,neutral
"1666년 베커는 마인츠 대학교의 의학 강사로 취직할 수 있었고, 동시에 대주교의 주치의가 되었다.",1664년부터 1668년까지 베커는 무직이었다.,contradiction
"1666년 베커는 마인츠 대학교의 의학 강사로 취직할 수 있었고, 동시에 대주교의 주치의가 되었다.",대주교는 전임 주치의인 베커를 후임으로 추천하였다.,neutral
지난 16일 독일 베를린에서 열린 제26회 세계남자핸드볼선수권대회에서 남북 단일팀과 세르비아의 경기가 열렸다.,남자 핸드볼 단일팀은 세르비아를 이겼다.,neutral
16일 서울 세종로 정부서울청사에서 정세균 국무총리 주재로 정부점검조정회의가 열리고 있다.,16일 서울 세종로에서 국정현안점검조정회의가 열리고 있다.,entailment
16일 서울 세종로 정부서울청사에서 정세균 국무총리 주재로 정부점검조정회의가 열리고 있다.,16일 안동 태화동에서 국정현안점검조정회의가 열리고 있다.,contradiction
16일 서울 세종로 정부서울청사에서 정세균 국무총리 주재로 정부점검조정회의가 열리고 있다.,주재관인 정세균 국무총리가 서울 세종로에 거주하고 있다.,neutral
1720년대 완공돼 300년 동안 주민들에게 귀중한 농업용수를 공급하는 저수지로 영화 속 풍광이 아름다운 곳으로 입소문이 나기도 했다.,18세기에 완공된 이 저수지는 300년 동안 주민들에게 농업용수를 공급하기 위해 사용되어 왔다.,entailment
1720년대 완공돼 300년 동안 주민들에게 귀중한 농업용수를 공급하는 저수지로 영화 속 풍광이 아름다운 곳으로 입소문이 나기도 했다.,300년 동안 주민들에게 귀중한 농업용수를 공급하는 저수지는 10년의 공사 기간을 거쳐 1720년에 완공되었다.,neutral
"1792년, 마드리드의 가톨릭 종교 교회는 고야의 판화 모음집인 카프리뇨스를 조사했습니다.",1792년 마드리드에서는 종교 재판이 없었다.,contradiction
"1792년, 마드리드의 가톨릭 종교 교회는 고야의 판화 모음집인 카프리뇨스를 조사했습니다.",고야의 가프리조스는 그 재판을 무사히 통과했다.,neutral
"1792년, 마드리드의 가톨릭 종교 교회는 고야의 판화 모음집인 카프리뇨스를 조사했습니다.",고야의 판화책은 종교 재판에서 검토되었다.,entailment
17세기 중반 러시아 차르국의 압력을 100년 이상 견디며 우크라이나 중부에 카자크 지국이 설립되었으나 결국 폴란드와 러시아에 의해 분할되었다.,카자크 본부는 우크라이나 중부에 설립되었다.,entailment
1840년대부터 영국의 왕과 귀족들을 위한 옷을 만들어온 재단사들은 킹스맨이라는 단체를 만들었다.,영국 귀족들의 옷을 만들던 재단사들이 단체를 만든다.,entailment
1840년대부터 영국의 왕과 귀족들을 위한 옷을 만들어온 재단사들은 킹스맨이라는 단체를 만들었다.,킹스맨은 2000년대에 처음 결성되었다.,contradiction
1840년대부터 영국의 왕과 귀족들을 위한 옷을 만들어온 재단사들은 킹스맨이라는 단체를 만들었다.,킹스맨은 세계 어느 정보기관도 모르는 비밀정보조직이다.,neutral
"1877년, 그의 모든 출품작들이 파리 살롱에서 거절당했을 때, 메리 카사트는 7년 만에 처음으로 파리 살롱에서 그녀의 작품을 전시할 수 없었다.",1877년 마리 카사트가 파리 살롱에서 그녀의 작품을 전시하지 못한 것은 처음이었다.,entailment
"1877년, 그의 모든 출품작들이 파리 살롱에서 거절당했을 때, 메리 카사트는 7년 만에 처음으로 파리 살롱에서 그녀의 작품을 전시할 수 없었다.",메리 카사트는 1875년 파리 살롱에서 그의 작품을 처음 전시했습니다.,contradiction
1880년 에케르트는 당시 존재하지 않았던 일본 국가를 작곡해 달라는 일본 해군 요청을 받았다.,1880년에 일본이라는 나라가 존재했습니다.,entailment
1880년 에케르트는 당시 존재하지 않았던 일본 국가를 작곡해 달라는 일본 해군 요청을 받았다.,일본 해군은 에케르트에게 국가를 요청했습니다.,entailment
1899년 1월 만민회 활동과 관련된 쿠데타를 모의한 혐의로 체포되어 무기징역을 선고받고 징역 5년 7개월을 선고받았다.,1899년 1월 쿠데타를 모의한 혐의로 체포되었다.,entailment
1899년 1월 만민회 활동과 관련된 쿠데타를 모의한 혐의로 체포되어 무기징역을 선고받고 징역 5년 7개월을 선고받았다.,그는 쿠데타를 모의한 혐의로 체포되어 징역 3년을 선고받았다.,contradiction
만 18세 이하 부모와 자녀가 자유롭게 이용할 수 있는 시설이다.,18세 미만의 부모와 자녀는 이용할 수 없습니다.,contradiction
만 18세 이하 부모와 자녀가 자유롭게 이용할 수 있는 시설이다.,18세 이상의 부모와 자녀도 이용할 수 있다.,neutral
18일 가수 정용화의 인스타그램에는 이종현의 상황을 언급한 댓글이 다수 달렸다.,정용화 씨는 인스타그램 계정이 있습니다.,entailment
18일 가수 정용화의 인스타그램에는 이종현의 상황을 언급한 댓글이 다수 달렸다.,정용화의 인스타그램이 댓글 달기 기능을 차단했다.,contradiction
지난 18일 엘렌 페이지는 인스타그램에 한 남자배우의 사진을 게재했다.,엘렌 페이지가 올린 사진은 순식간에 삭제됐다.,neutral
지난 18일 엘렌 페이지는 인스타그램에 한 남자배우의 사진을 게재했다.,엘렌 페이지는 인스타그램입니다.,entailment
1912년 4월 경제적으로 몰락한 귀족 가문의 딸 로즈는 어머니의 강요로 약혼자 칼과 함께 타이타닉호에 탑승한다.,칼은 또한 부모님의 강요로 타이타닉에 탑승했다.,neutral
1930년대 최태하의 생가에는 이웃 최태하의 집에서 이 집을 구입하여 양자로 들어온 최태하의 생가 가족이 살았다.,최태하 씨가 양자로 들어왔습니다.,entailment
"1930년대에 항공 여행에 대한 수요는 급격히 증가했고, 영국 항공사 임페리얼 항공은 새로운 기술을 받아들이기 위해 노력하고 있었다.",1930년대에는 항공 여행에 대한 수요가 감소했다.,contradiction
1934년 7월 사이토 내각에 이어 출범한 오카다 게이스케 내각은 젊은 과격파 장교들의 계속되는 갈등과 점령지 주민들의 지속적인 저항에 직면했다.,1934년 7월 오카다 게이스케 내각에 이어 사이토 내각이 출범했다.,contradiction
1934년 7월 사이토 내각에 이어 출범한 오카다 게이스케 내각은 젊은 과격파 장교들의 계속되는 갈등과 점령지 주민들의 지속적인 저항에 직면했다.,오카다 케이스케 내각은 주민들의 저항에 직면했다.,entailment
"1936년, 폰 브라운의 로켓 공학 팀은 쿠머스도르프에서 액체 연료 로켓을 항공기에 장착하기 위한 연구를 수행했다.",본 브라운의 로켓공학팀은 쿠머스도르프에서 연구를 수행했다.,entailment
"1936년, 폰 브라운의 로켓 공학 팀은 쿠머스도르프에서 액체 연료 로켓을 항공기에 장착하기 위한 연구를 수행했다.",본 브라운의 로켓공학팀은 항공기 개발을 위한 연구를 수행했다.,contradiction
"1936년, 폰 브라운의 로켓 공학 팀은 쿠머스도르프에서 액체 연료 로켓을 항공기에 장착하기 위한 연구를 수행했다.",본 브라운의 로켓 공학 팀의 연구는 성공적이었다.,neutral
1937년부터 보울리는 향수병에 걸려 영국으로 돌아가고 싶어하지만 레이 노블은 미국에 남아 오케스트라를 지휘하기로 결정했다.,레이 노블은 영국으로 돌아갔습니다.,contradiction
1937년부터 보울리는 향수병에 걸려 영국으로 돌아가고 싶어하지만 레이 노블은 미국에 남아 오케스트라를 지휘하기로 결정했다.,레이 노블은 향수병을 앓지 않았다.,neutral
1937년부터 보울리는 향수병에 걸려 영국으로 돌아가고 싶어하지만 레이 노블은 미국에 남아 오케스트라를 지휘하기로 결정했다.,보울리는 향수병을 앓았습니다.,entailment
"1938년 어느 늦은 밤, 보험 판매원 월터 네프는 로스앤젤레스 시내에 있는 그의 사무실로 돌아옵니다.",월터 네프의 사무실은 뉴욕 시내에 있습니다.,contradiction
"1948년, 그는 국내외에 한국 정부 수립을 선언하고 초대 대통령으로 취임했다.",1948년 대한민국 정부 수립은 국내에서만 선언되었다.,contradiction
"1948년, 그는 국내외에 한국 정부 수립을 선언하고 초대 대통령으로 취임했다.",대한민국 정부가 선포된 날 초대 대통령이 취임했다.,neutral
"1948년, 그는 국내외에 한국 정부 수립을 선언하고 초대 대통령으로 취임했다.",초대 대통령은 대한민국 정부가 선포된 해에 취임했다.,entailment
"1950년, 멀리 떨어져 있던 용감한 한국계 군인들이 공동의 가치와 목적 아래 단결해 한미 군사동맹의 피를 나눈 혈맹을 만들었다.",1950년 오늘 이후 한미 군사동맹은 깨진 적이 없다.,neutral
"1950년, 멀리 떨어져 있던 용감한 한국계 군인들이 공동의 가치와 목적 아래 단결해 한미 군사동맹의 피를 나눈 혈맹을 만들었다.",1950년 오늘날 한미 군사 동맹은 분열되었다.,contradiction
"1950년, 멀리 떨어져 있던 용감한 한국계 군인들이 공동의 가치와 목적 아래 단결해 한미 군사동맹의 피를 나눈 혈맹을 만들었다.",한미 군사동맹이 혈맹으로 탄생한 것은 1950년이다.,entailment
1952년 한영범 대위는 인민군 간부 이창섭을 포함한 4명의 포로를 이송하는 임무를 맡았다.,한영범 국군 대위가 포로 4명을 수용소로 이송한다.,entailment
1952년 한영범 대위는 인민군 간부 이창섭을 포함한 4명의 포로를 이송하는 임무를 맡았다.,한영범은 어떤 업무도 담당하지 않는다.,contradiction
"1959년 11월 1일, 후투족 지도자 도미니크 음보누무트와가 키갈리에서 투투당 지지자들의 공격을 받았다.",도미니크 음보뉴무트와는 부족장이 아니었다.,contradiction
"1960년 3월 15일 오후 3시 30분 경상남도 마산에서는 이승만 정권의 불법 선거에 항의하여 시민과 학생 1,000여 명이 거리로 나가 민주화 만세를 외쳤다.",경상남도 마산에서는 이승만 정권의 불법 선거에 항의하는 사람들이 있었다.,entailment
"1960년 3월 15일 오후 3시 30분 경상남도 마산에서는 이승만 정권의 불법 선거에 항의하여 시민과 학생 1,000여 명이 거리로 나가 민주화 만세를 외쳤다.",시민들의 저항 덕분에 이승만 정권은 무너졌다.,neutral
"1960년 3월 15일 오후 3시 30분 경상남도 마산에서는 이승만 정권의 불법 선거에 항의하여 시민과 학생 1,000여 명이 거리로 나가 민주화 만세를 외쳤다.",학생들은 민주주의를 위해 만세를 외치지 못했다.,contradiction
1960년대에 아일랜드에는 막달레나 세탁소라고 불리는 가톨릭 시설이 있었습니다.,1960년대에 아일랜드에 가톨릭 시설이 있었다.,entailment
1960년대에 아일랜드에는 막달레나 세탁소라고 불리는 가톨릭 시설이 있었습니다.,막달레나 세탁소는 아일랜드 최초의 가톨릭 시설입니다.,neutral
1960년대에 아일랜드에는 막달레나 세탁소라고 불리는 가톨릭 시설이 있었습니다.,아일랜드의 가톨릭 시설은 2000년에 처음 설립되었다.,contradiction
"1963년, 유망한 물리학자인 스티븐 호킹은 영국 케임브리지 대학에서 박사 학위를 준비하고 있었다.","스티븐 호킹, 물리학 박사 되다",neutral
"1963년, 유망한 물리학자인 스티븐 호킹은 영국 케임브리지 대학에서 박사 학위를 준비하고 있었다.",스티븐 호킹은 물리학자입니다.,entailment
"1964년 사담은 아리프 대통령을 암살할 계획을 세웠으나 사전에 붙잡혀 체포돼 투옥됐고, 2년 뒤 교도관을 속여 탈옥해 지하활동을 벌였다.",1964년 사담은 아리프 대통령을 암살했다.,contradiction
"1964년 사담은 아리프 대통령을 암살할 계획을 세웠으나 사전에 붙잡혀 체포돼 투옥됐고, 2년 뒤 교도관을 속여 탈옥해 지하활동을 벌였다.",1966년 사담은 간수를 속여 탈옥에 성공한다.,entailment
"1964년 사담은 아리프 대통령을 암살할 계획을 세웠으나 사전에 붙잡혀 체포돼 투옥됐고, 2년 뒤 교도관을 속여 탈옥해 지하활동을 벌였다.",사담은 탈출 후 다시 대통령의 암살을 계획했습니다.,neutral
"1965년부터 1966년까지 치마는 점점 짧아졌고, 총 길이가 18인치밖에 되지 않는 가장 짧은 미니스커트가 대량 생산되어 판매되었다.",미니스커트는 생산된 적이 없다.,contradiction
"1965년부터 1966년까지 치마는 점점 짧아졌고, 총 길이가 18인치밖에 되지 않는 가장 짧은 미니스커트가 대량 생산되어 판매되었다.",여자들은 짧은 치마를 선호합니다.,neutral
1970년대만 해도 기혼 여성이 독일에서 취업을 하려면 남편의 허락이 필요했다.,1970년대 이후 기혼 여성들은 직장을 구하기 위해 남편의 허락이 필요하지 않았다.,neutral
1970년대만 해도 기혼 여성이 독일에서 취업을 하려면 남편의 허락이 필요했다.,1970년대만 해도 기혼 여성들은 혼자서는 직장을 구할 수 없었다.,entailment
1970년대만 해도 기혼 여성이 독일에서 취업을 하려면 남편의 허락이 필요했다.,1970년대에 독일의 기혼 여성들은 독단적인 결정을 통해 직업을 가질 수 있었다.,contradiction
1972년 이후 반세기 만에 세 번째 추가경정예산안이 제출된 것으로 역대 최대 규모다.,세 번째 추가경정예산이 제출된 것은 1972년 이후 처음이다.,entailment
1972년 이후 반세기 만에 세 번째 추가경정예산안이 제출된 것으로 역대 최대 규모다.,세 번째 추가경정예산이 제출된 것은 사상 처음이다.,contradiction
1979년 독일 주재 이스라엘 대사관저에서 폭탄테러가 발생하자 이스라엘의 고위 정보요원 쿠르츠가 수사에 착수했다.,1987년 독일 주재 이스라엘 대사관저에서 폭탄 테러가 발생했다.,contradiction
1979년 독일 주재 이스라엘 대사관저에서 폭탄테러가 발생하자 이스라엘의 고위 정보요원 쿠르츠가 수사에 착수했다.,쿠르츠는 이번 폭탄테러를 수사 중인 이스라엘 고위 정보관이다.,entailment
"1980년대 초, 미 해군 범죄 수사국은 시카고에 있는 부대들에서 동성애자들을 조사했다.","1990년대 초, 미 해군 범죄 수사국은 처음으로 시카고 부대의 동성애자들을 조사했다.",contradiction
"1980년대 초, 미 해군 범죄 수사국은 시카고에 있는 부대들에서 동성애자들을 조사했다.",수사 결과 부대 내에서는 동성애자가 발견되지 않았다.,neutral
"1982년, 나사는 외계인과 접촉을 희망하며 지구 문화를 담은 타임캡슐을 우주로 발사했다.",나사는 지구의 안전을 위해 외계인과 접촉하기를 원하지 않는다.,contradiction
1985년 2월 아키야마 다케히로의 집에 침입한 노노미야 기와코는 잠든 아기 에리나에게 충동적으로 납치했다.,노노미야 키와코는 충동적으로 아기 에리나를 납치한다.,entailment
1985년 2월 아키야마 다케히로의 집에 침입한 노노미야 기와코는 잠든 아기 에리나에게 충동적으로 납치했다.,에리나는 6개월 된 아기입니다.,neutral
1986년 부모와 함께 산타크루즈에서 휴가를 즐기던 어린 애들레이드는 부모와 떨어져 놀이공원의 유령의 집에 이끌렸다.,애들레이드는 1986년 부모님과 함께 산타크루즈에서 휴가를 즐겼다.,entailment
1986년 부모와 함께 산타크루즈에서 휴가를 즐기던 어린 애들레이드는 부모와 떨어져 놀이공원의 유령의 집에 이끌렸다.,애들레이드는 유령의 집에서 길을 잃고 울음을 터뜨린다.,neutral
1987년 12월 16일 제13대 대통령 선거에서 노태우 후보가 당선되었다.,노태우 후보는 1987년에 당선되었습니다.,entailment
1987년 12월 16일 제13대 대통령 선거에서 노태우 후보가 당선되었다.,노태우 후보는 대한민국의 두 번째 대통령이 되었습니다.,contradiction
1987년 12월 16일 제13대 대통령 선거에서 노태우 후보가 당선되었다.,노태우 후보가 많은 사랑을 받았다.,neutral
1988년 프랑스어와 네덜란드어 간 협상으로 왈롱 지역에 대한 재정 지원이 줄어들자 긴축 재정 정책이 시행됐다.,"1988년, 긴축 재정 정책이 왈롱 지역에서 시행되었다.",entailment
1989년 방북 취재를 계획했다가 국가보안법 위반 혐의로 체포됐지만 곧 특사로 풀려나 1995년부터 교수직에서 물러났다.,그는 1995년부터 교수로 취임했습니다.,contradiction
1989년 방북 취재를 계획했다가 국가보안법 위반 혐의로 체포됐지만 곧 특사로 풀려나 1995년부터 교수직에서 물러났다.,국가보안법 위반 혐의로 구속된 사람이 특사로 풀려난 것은 이번이 처음이다.,neutral
1990년생으로 올해 28살이 된 배우 한지성은 2010년 걸그룹 비돌스로 데뷔해 최근까지 드라마와 영화에서 맹활약 중이다.,2010년에 걸그룹 비돌스가 해체되었다.,contradiction
1990년생으로 올해 28살이 된 배우 한지성은 2010년 걸그룹 비돌스로 데뷔해 최근까지 드라마와 영화에서 맹활약 중이다.,배우 한지성은 1990년에 태어났다.,entailment
1991년 8월 음주운전을 하던 조씨가 한 여성을 길거리에 버리고 시신을 유기한 사건을 소재로 한 영화다.,실제 사건과 영화의 결말이 다릅니다.,neutral
1991년 8월 음주운전을 하던 조씨가 한 여성을 길거리에 버리고 시신을 유기한 사건을 소재로 한 영화다.,그것은 실제 사건을 소재로 한 영화입니다.,entailment
1991년 8월 음주운전을 하던 조씨가 한 여성을 길거리에 버리고 시신을 유기한 사건을 소재로 한 영화다.,나는 완벽한 허구로 영화를 만들었다.,contradiction
1991년 통계 작성 이후 가장 낮은 수치다.,1991년 통계 작성 이후 변동폭이 가장 크다.,neutral
1991년 통계 작성 이후 가장 낮은 수치다.,1991년 통계 작성 이후 가장 높은 수치다.,contradiction
1991년 통계 작성 이후 가장 낮은 수치다.,이는 21세기에 기록된 통계 중 가장 낮은 수치이다.,neutral
1992년 사업가 에르네스토 마르텔의 비서 레나는 위독한 아버지의 병원비를 지불하기 위해 에르네스토 정부가 되었다.,에르네스토 마르텔의 비서 레나는 에르네스토의 정부가 된다.,entailment
1992년 사업가 에르네스토 마르텔의 비서 레나는 위독한 아버지의 병원비를 지불하기 위해 에르네스토 정부가 되었다.,에르네스토 마르텔의 비서 레나의 아버지는 건강을 되찾았습니다.,neutral
1993년 12월 23일 일본군 위안부 출신 할머니의 100번째 수요 시위가 일본 대사관 앞에서 열렸다.,일본군 위안부 출신 할머니의 100번째 수요시위가 일본대사관 앞에서 열린다.,entailment
1993년 12월 23일 일본군 위안부 출신 할머니의 100번째 수요 시위가 일본 대사관 앞에서 열렸다.,일본군 위안부 출신 할머니의 100번째 요구시위에는 100여명의 인파가 모였다.,neutral
1993년 9월 17일 카툰 네트워크는 영국 지사에서 유럽 전역에 영어 채널을 방송하기 시작했다.,"1993년 9월 17일, 카툰 네트워크의 영어 채널 송출은 유럽에서 제외되었다.",contradiction
1993년 9월 17일 카툰 네트워크는 영국 지사에서 유럽 전역에 영어 채널을 방송하기 시작했다.,카툰 네트워크 영어 채널은 여전히 전송 중입니다.,neutral
